"url","url_self_link","title","publication_date","update_date","share_fb_like","share_fb_share","share_googleplus","share_twitter","share_others","article_language","lesbahet","news_bureau","external_links","internal_links","word_count","line_count","char_count","factbox","comment_fields","comment_number","interactive_elements","poll","game","video_files","video_files_nrk","flash_file","image_collection","images","related_stories","related_stories_box_thematic","related_stories_box_les","map","regional_office","program_related","main_news_category","iframe","css","js","template"
"http://www.nrk.no/sport/1.11416222","http://www.nrk.no/sport/1.11416222","Fotballjentene hopper på rankingen - Sport","2013-12-13 12:43:15",NULL,0,1,1,1,0,"no",45.374,NULL,1,0,41,3,287,0,0,0,4,NULL,NULL,0,0,0,0,0,0,0,0,0,"NA","NA","Sport",0,183190,19378,"nrk_alfa"
"http://www.nrk.no/sorlandet/--iveland-overlever-ikke-1.11416315","http://www.nrk.no/sorlandet/1.11416315","– Iveland overlever ikke som egen kommune","2013-12-13 12:34:55",NULL,0,2,2,2,0,"no",48.7442,NULL,0,0,199,11,1157,0,0,0,8,NULL,NULL,0,0,0,0,1,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21765,"ny2013"
"http://www.nrk.no/nyheter/1.11415996","http://www.nrk.no/nyheter/1.11415996","DIREKTE: Kai Eide møter pressen i Kongo - NRK Nyheter","2013-12-13 12:29:33",NULL,0,1,1,1,0,"no",36.5,NULL,0,0,25,2,146,0,0,0,5,NULL,NULL,0,1,0,0,1,3,3,0,0,"NA","NA","NA",0,184903,24886,"nrk_alfa"
"http://www.nrk.no/sorlandet/verner-skog-1.11416406","http://www.nrk.no/sorlandet/1.11416406","Verner skog - NRK – Sørlandet","2013-12-13 12:59:52",NULL,0,1,1,1,0,"no",37.4444,NULL,0,0,36,2,204,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sorlandet/advarer-mot-glatte-veier-1.11416271","http://www.nrk.no/sorlandet/1.11416271","Advarer mot glatte veier - NRK – Sørlandet","2013-12-13 12:54:09",NULL,0,1,1,1,0,"nb",31.8571,NULL,0,0,28,2,158,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sorlandet/27-mister-jobben-1.11416394","http://www.nrk.no/sorlandet/1.11416394","27 mister jobben - NRK – Sørlandet","2013-12-13 13:09:24",NULL,0,1,1,1,0,"no",44.2456,NULL,0,0,38,3,260,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sorlandet/1.11416394","http://www.nrk.no/sorlandet/1.11416394","27 mister jobben - NRK – Sørlandet","2013-12-13 13:09:24",NULL,0,1,1,1,0,"no",44.2456,NULL,0,0,38,3,260,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sorlandet/1.11416406","http://www.nrk.no/sorlandet/1.11416406","Verner skog - NRK – Sørlandet","2013-12-13 12:59:52",NULL,0,1,1,1,0,"no",37.4444,NULL,0,0,36,2,204,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sorlandet/1.11416271","http://www.nrk.no/sorlandet/1.11416271","Advarer mot glatte veier - NRK – Sørlandet","2013-12-13 12:54:09",NULL,0,1,1,1,0,"nb",31.8571,NULL,0,0,28,2,158,0,0,0,4,NULL,NULL,0,0,0,0,0,9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa"
"http://www.nrk.no/sognogfjordane/sag-eldkule-pa-himmelen-1.11416179","http://www.nrk.no/sognogfjordane/1.11416179","Var på veg til jobb - då kom ei eldkule susande over himmelen...","2013-12-13 12:15:43",NULL,0,2,2,2,0,"nn",33.3097,NULL,0,8,802,42,4138,0,0,0,8,NULL,NULL,0,0,0,0,2,6,6,0,0,"NRK Sogn og Fjordane","NA","NA",0,181178,21772,"ny2013"
