"id","url","url_self_link","title","full_text","publication_date","update_date","scrape_date","share_fb_like","share_fb_share","share_googleplus","share_twitter","share_others","article_language","lesbahet","news_bureau","external_links","internal_links","word_count","line_count","char_count","factbox","comment_fields","comment_number","interactive_elements","poll","game","video_files","video_files_nrk","flash_file","image_collection","images","image_captions","related_stories","related_stories_box_thematic","related_stories_box_les","map","regional_office","program_related","main_news_category","iframe","css","js","template","autor_id","url","name","email","role"
41,"http://www.nrk.no/sport/1.11416222","http://www.nrk.no/sport/1.11416222","Fotballjentene hopper på rankingen - Sport","Fotballjentene hopper på rankingen
Tre strake seirer i VM-kvalifiseringen har løftet Norges fotballandslag for kvinner til 8.-plass (før 10.-plass) på FIFA-rankingen. Det er den beste plasseringen siden november 2010, ifølge FIFAs nettsider. USA topper rankingen foran Tyskland og Japan.","2013-12-13 12:43:15",NULL,"2014-03-27 18:01:09",0,1,1,1,0,"no",45.374,NULL,1,0,41,3,287,0,0,0,4,NULL,NULL,0,0,0,0,0,"",0,0,0,0,"NA","NA","Sport",0,183190,19378,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
43,"http://www.nrk.no/nyheter/1.11415996","http://www.nrk.no/nyheter/1.11415996","DIREKTE: Kai Eide møter pressen i Kongo - NRK Nyheter","DIREKTE: Kai Eide møter pressen i Kongo
Spesialutsending Kai Eide møter.pressen i Kinshasa i Kongo. Eide har i dag møtt Joshua French i fengselet.","2013-12-13 12:29:33",NULL,"2014-03-27 18:01:12",0,1,1,1,0,"no",36.5,NULL,0,0,25,2,146,0,0,0,5,NULL,NULL,0,1,0,0,1,"",3,3,0,0,"NA","NA","NA",0,184903,24886,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
44,"http://www.nrk.no/sorlandet/verner-skog-1.11416406","http://www.nrk.no/sorlandet/1.11416406","Verner skog - NRK – Sørlandet","Verner skog
Regjeringen verner Ytre Lauvrak naturreservat i Froland. Området består av mange gamle edelløvtrær som lind, eik og alm og det er en rekke truede arter av sopp, lav og insekter i denne skogen.","2013-12-13 12:59:52",NULL,"2014-03-27 18:01:12",0,1,1,1,0,"no",37.4444,NULL,0,0,36,2,204,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
45,"http://www.nrk.no/sorlandet/advarer-mot-glatte-veier-1.11416271","http://www.nrk.no/sorlandet/1.11416271","Advarer mot glatte veier - NRK – Sørlandet","Advarer mot glatte veier
Meteorologisk institutt advarer mot fare for glatte veier. Det er fare for at nedbør kan fryse på bakken i indre strøk i ettermiddag.","2013-12-13 12:54:09",NULL,"2014-03-27 18:01:13",0,1,1,1,0,"nb",31.8571,NULL,0,0,28,2,158,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
46,"http://www.nrk.no/sorlandet/27-mister-jobben-1.11416394","http://www.nrk.no/sorlandet/1.11416394","27 mister jobben - NRK – Sørlandet","27 mister jobben
Direktoratet for økonomistyring sin avdeling i Kristiansand og fire andre byer blir lagt ned. Det opplyser både Sosialistisk Venstreparti og Arbeiderpartiet etter behandling av saken i Stortinget i dag. Totalt gjelder dette 139 arbeidsplasser.","2013-12-13 13:09:24",NULL,"2014-03-27 18:01:13",0,1,1,1,0,"no",44.2456,NULL,0,0,38,3,260,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
47,"http://www.nrk.no/sorlandet/1.11416394","http://www.nrk.no/sorlandet/1.11416394","27 mister jobben - NRK – Sørlandet","27 mister jobben
Direktoratet for økonomistyring sin avdeling i Kristiansand og fire andre byer blir lagt ned. Det opplyser både Sosialistisk Venstreparti og Arbeiderpartiet etter behandling av saken i Stortinget i dag. Totalt gjelder dette 139 arbeidsplasser.","2013-12-13 13:09:24",NULL,"2014-03-27 18:01:14",0,1,1,1,0,"no",44.2456,NULL,0,0,38,3,260,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
48,"http://www.nrk.no/sorlandet/1.11416406","http://www.nrk.no/sorlandet/1.11416406","Verner skog - NRK – Sørlandet","Verner skog
Regjeringen verner Ytre Lauvrak naturreservat i Froland. Området består av mange gamle edelløvtrær som lind, eik og alm og det er en rekke truede arter av sopp, lav og insekter i denne skogen.","2013-12-13 12:59:52",NULL,"2014-03-27 18:01:16",0,1,1,1,0,"no",37.4444,NULL,0,0,36,2,204,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
49,"http://www.nrk.no/sorlandet/1.11416271","http://www.nrk.no/sorlandet/1.11416271","Advarer mot glatte veier - NRK – Sørlandet","Advarer mot glatte veier
Meteorologisk institutt advarer mot fare for glatte veier. Det er fare for at nedbør kan fryse på bakken i indre strøk i ettermiddag.","2013-12-13 12:54:09",NULL,"2014-03-27 18:01:17",0,1,1,1,0,"nb",31.8571,NULL,0,0,28,2,158,0,0,0,4,NULL,NULL,0,0,0,0,0,"",9,9,0,0,"NRK Sørlandet","NA","NA",0,181178,21436,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
51,"http://www.nrk.no/rogaland/150-i-erstatningsko-1.11416167","http://www.nrk.no/rogaland/1.11416167","150 i erstatningskø - NRK – Rogaland","150 i erstatningskø
Rundt 150 tidligere tannlegeassistenter står i kø for å få erstatning for kvikksølvskader, etter at 72 år gamle Bertha Regine Serigstad fra Stavanger vant fram i Høyesterett. – Nå må arbeidsministeren ta tak i dette, slik at de andre i køen får rask hjelp, sier tannlegesekretærenes leder, Gerd Bang-Johansen.","2013-12-13 12:57:01",NULL,"2014-03-27 18:02:57",0,1,1,1,0,"no",47.2547,NULL,0,1,53,2,329,0,0,0,4,NULL,NULL,0,0,0,0,0,"",3,3,0,0,"NRK Rogaland","NA","NA",0,181178,19823,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
52,"http://www.nrk.no/rogaland/1.11416167","http://www.nrk.no/rogaland/1.11416167","150 i erstatningskø - NRK – Rogaland","150 i erstatningskø
Rundt 150 tidligere tannlegeassistenter står i kø for å få erstatning for kvikksølvskader, etter at 72 år gamle Bertha Regine Serigstad fra Stavanger vant fram i Høyesterett. – Nå må arbeidsministeren ta tak i dette, slik at de andre i køen får rask hjelp, sier tannlegesekretærenes leder, Gerd Bang-Johansen.","2013-12-13 12:57:01",NULL,"2014-03-27 18:02:59",0,1,1,1,0,"no",47.2547,NULL,0,1,53,2,329,0,0,0,4,NULL,NULL,0,0,0,0,0,"",3,3,0,0,"NRK Rogaland","NA","NA",0,181178,19823,"nrk_alfa",NULL,NULL,NULL,NULL,NULL
