autor_id,"url","name","email","role"
124,"http://www.nrk.no/buskerud/fengselsteater-1.11415794","Knut Brendhagen",NULL,"Journalist "
125,"http://www.nrk.no/buskerud/fengselsteater-1.11415794","Anette Skafjeld",NULL,"Journalist "
126,"http://www.nrk.no/ho/innbruddstyv-gjemte-seg-i-kjoleskap-1.11415568","Hanne Stine Kind",NULL,"Journalist "
127,"http://www.nrk.no/hordaland/vil-lokke-legar-med-fastlonn-1.11416190","Vidar Gudvangen",NULL,"Journalist "
128,"http://www.nrk.no/nordland/drapstiltalt-mann-blir-undersokt-1.11415920","Andreas Budalen",NULL,"Journalist "
129,"http://www.nrk.no/okonomi/reitan_-dette-er-ingen-utpressing-1.11416027","David Vojislav Krekling",NULL,"Journalist "
130,"http://www.nrk.no/nyheter/distrikt/more_og_romsdal/1.11415982","Malin Kjellstadli Korsnes",NULL,"Journalist "
131,"http://www.nrk.no/nyheter/distrikt/more_og_romsdal/1.11415982","Ole-Ottar Høgstavoll",NULL,"Journalist "
132,"http://www.nrk.no/sognogfjordane/familien-tek-avhoyrsnekt-tungt-1.11415441","Tone Merete Lillesvangstu",NULL,"Journalist "
133,"http://www.nrk.no/sognogfjordane/familien-tek-avhoyrsnekt-tungt-1.11415441","Silje Kristin Guddal",NULL,"Journalist "
134,"http://www.nrk.no/sognogfjordane/familien-tek-avhoyrsnekt-tungt-1.11415441","Eva Marie Felde",NULL,"Journalist "
135,"http://www.nrk.no/ho/hamar-mister-31-arbeidsplasser-1.11416033","Tom Haakenstad",NULL,"Journalist "
136,"http://www.nrk.no/nyheter/distrikt/hedmark_og_oppland/1.11416033","Tom Haakenstad",NULL,"Journalist "
137,"http://www.nrk.no/nyheter/distrikt/hedmark_og_oppland/1.11415916","Anne Næsheim",NULL,"Journalist "
138,"http://www.nrk.no/ytring/tidsklemma-og-romklemma-1.11414106","Håvard Aaslund",NULL,"Høgskolelektor og sosionom med spesialkompetanse ved Diakonhjemmet høgskole "
139,"http://www.nrk.no/trondelag/22.000-fortsatt-uten-strom-1.11415433","Espen Sandmo",NULL,"Journalist "
140,"http://www.nrk.no/norge/eldre-hindres-av-sno-og-glatt-fore-1.11414959","Kjartan Rørslett",NULL,"Journalist "
141,"http://www.nrk.no/norge/eldre-hindres-av-sno-og-glatt-fore-1.11414959","Signe Karin Hotvedt",NULL,"Journalist "
142,"http://www.nrk.no/vestfold/julestjerna-bestar-ar-etter-ar-1.11412926","Linn Løkken",NULL,"Journalist "
143,"http://www.nrk.no/sognogfjordane/ferje-lem-opna-seg-av-seg-sjolv-1.11415956","Tone Merete Lillesvangstu",NULL,"Journalist "
144,"http://www.nrk.no/sognogfjordane/slik-markerte-dei-lucia-dagen-1.11415840","Tone Merete Lillesvangstu",NULL,"Journalist "
145,"http://www.nrk.no/sognogfjordane/slik-markerte-dei-lucia-dagen-1.11415840","Erlend Blaalid Oldeide",NULL,"Journalist "
146,"http://www.nrk.no/rogaland/kvelertak-pa-rolling-stone-liste-1.11416030","Mari Rollag Evensen",NULL,"Journalist "
147,"http://www.nrk.no/norge/civita-vil-ha-koprising-1.11413722","Siv Sandvik",NULL,"Journalist "
148,"http://www.nrk.no/norge/civita-vil-ha-koprising-1.11413722","Hedvig Bjørgum",NULL,"Journalist "
149,"http://nrk.no/rogaland/kvelertak-pa-rolling-stone-liste-1.11416030","Mari Rollag Evensen",NULL,"Journalist "
150,"http://www.nrk.no/ostlandssendingen/_-kan-svekke-tilliten-til-politiet-1.11409097","Sara Aghili Taslimi",NULL,"Journalist "
151,"http://www.nrk.no/ostlandssendingen/_-kan-svekke-tilliten-til-politiet-1.11409097","Øzgur Tufan",NULL,"Journalist "
152,"http://www.nrk.no/ostfold/straffegebyr-til-halden-kommune-1.11415990","Rune Fredriksen",NULL,"Journalist "
153,"http://www.nrk.no/telemark/fikk-to-kulturpriser-pa-ett-ar-1.11415675","Marie Roksund",NULL,"Journalist "
154,"http://www.nrk.no/nyheter/norge/1.11416029","Siv Sandvik",NULL,"Journalist "
155,"http://www.nrk.no/nyheter/norge/1.11416029","Andreas Meier Eide",NULL,"Journalist "
156,"http://www.nrk.no/okonomi/folg-pressekonferansen-her-1.11416027","David Vojislav Krekling",NULL,"Journalist "
157,"http://www.nrk.no/ho/sterk-nedgang-i-sykefravaeret-1.11415543","Hanne Stine Kind",NULL,"Journalist "
158,"http://www.nrk.no/ho/sterk-nedgang-i-sykefravaeret-1.11415543","Vera Wold",NULL,"Journalist "
159,"http://www.nrk.no/hordaland/sendt-til-sandviken-sykehus-1.11415911","Roy Hilmar Svendsen",NULL,"Journalist "
160,"http://www.nrk.no/hordaland/sendt-til-sandviken-sykehus-1.11415911","Kaspar Knudsen",NULL,"Journalist "
161,"http://www.nrk.no/sport/vraker-norsk-julefeiring-1.11410909","Anders Skjerdingstad",NULL,"Journalist "
162,"http://www.nrk.no/mr/fengsla-i-fire-veker-etter-bussran-1.11415843","Malin Kjellstadli Korsnes",NULL,"Journalist "
163,"http://www.nrk.no/mr/fengsla-i-fire-veker-etter-bussran-1.11415843","Berit Susanne Kjølås",NULL,"Journalist "
164,"http://www.nrk.no/mr/i-dag-er-det-luciafeiring-1.11415982","Malin Kjellstadli Korsnes",NULL,"Journalist "
165,"http://www.nrk.no/mr/i-dag-er-det-luciafeiring-1.11415982","Ole-Ottar Høgstavoll",NULL,"Journalist "
166,"http://www.nrk.no/nordland/domt-for-sovevoldtekt-1.11415765","Susanne Lysvold",NULL,"Journalist "
167,"http://www.nrk.no/nordnytt/utvider-byen-med-2-millioner-kvm-1.11415535","Allan Klo",NULL,"Journalist "
168,"http://www.nrk.no/nordnytt/utvider-byen-med-2-millioner-kvm-1.11415535","Petter Strøm",NULL,"Journalist "
169,"http://www.nrk.no/nordnytt/utvider-byen-med-2-millioner-kvm-1.11415535","Erik Lieungh",NULL,"Journalist "
170,"http://www.nrk.no/nyheter/distrikt/more_og_romsdal/1.11415843","Malin Kjellstadli Korsnes",NULL,"Journalist "
171,"http://www.nrk.no/nyheter/distrikt/more_og_romsdal/1.11415843","Berit Susanne Kjølås",NULL,"Journalist "
